Unnamed: 0,0.0,0.0166666666666666,0.0.1,0.0.2,2.8833333333333333,8.0,2,26.96666666666667,5:0,13:0,0.0.3,0.0.4,0.0.5,0.0.6,2.1,Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
,,,,,,,,,,,,,,,,2023年03月31日 02:51:52,1.0,2.1333333333333333,1.0166666666666666,1.0,2.000000000000001,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2023年03月31日 02:51:52,1.0,2.15,1.0166666666666666,1.0,1.9833333333333327,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:52,1.0,2.183333333333333,1.0166666666666666,1.0,1.9500000000000008,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:53,1.0,2.2333333333333334,1.0166666666666666,1.0,1.9000000000000004,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:57,2.0,2.2333333333333334,1.0166666666666666,1.0,0.9000000000000004,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:58,2.0,3.2333333333333334,1.0166666666666666,1.0,-0.0999999999999996,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:59,2.0,2.2333333333333334,1.0166666666666666,1.0,0.9000000000000004,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:52:19,2.0,2.2333333333333334,1.0166666666666666,1.0166666666666666,0.8666666666666663,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
,,,,,,,,,,,,,,,,2023年03月31日 02:52:20,2.0,2.2333333333333334,1.0166666666666666,1.0,0.8833333333333329,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
,,,,,,,,,,,,,,,,2023年03月31日 02:52:21,2.0,2.2333333333333334,1.0166666666666666,1.0166666666666666,0.8666666666666663,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
,,,,,,,,,,,,,,,,2023年03月31日 02:52:21,2.0,2.2333333333333334,1.0166666666666666,1.0333333333333334,0.8499999999999994,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
